id,date,role,village_name,bh_use_num,tariff_costs_consider,tarrif_frequency,tariff_amount,total_money,tariff_hh_number,distance_to_spareparts,available_service_provider,preventive_mantainance,bh_functional,distance_to_spareparts_20_km_away,distance_to_spareparts_0_20_km_away,distance_to_spareparts_dont_know,distance_to_spareparts_within_community,tarrif_frequency_none,tarrif_frequency_per_2_months,tarrif_frequency_per_month,tarrif_frequency_per_quarter,tarrif_frequency_per_year,tarrif_frequency_when_required_for_repairs
1,2023-05-03,Area Mechanic,Mulyabweka,39,No tarrif system set,None,0,0,0,>20 km away,0,0,0,1,0,0,0,1,0,0,0,0,0
2,2023-05-07,Community member,Mlirasambo,48,No tarrif system set,None,0,0,0,>20 km away,0,0,0,1,0,0,0,1,0,0,0,0,0
3,2023-05-08,Community member,James,59,No tarrif system set,None,0,4000,0,>20 km away,1,0,0,1,0,0,0,1,0,0,0,0,0
5,2023-05-08,Area Mechanic,Chewere,41,Maintenance costs,Per month,200,60000,11,0-20 km away,0,0,0,0,1,0,0,0,0,1,0,0,0
6,2023-05-10,Chief/Village Headman,Mulyabweka,74,Maintenance costs,Per month,200,15000,33,0-20 km away,1,1,0,0,1,0,0,0,0,1,0,0,0
7,2023-05-10,Hand pump borehole committee chair,Kaputamwera,54,Maintenance costs,When required for repairs,500,15000,0,>20 km away,0,0,0,1,0,0,0,0,0,0,0,0,1
9,2023-05-10,Community member,Kayuni,37,No tarrif system set,None,0,0,0,>20 km away,0,0,0,1,0,0,0,1,0,0,0,0,0
10,2023-05-10,Head teacher / Teacher,James,24,No tarrif system set,None,0,0,0,0-20 km away,1,0,1,0,1,0,0,1,0,0,0,0,0
11,2023-05-10,Community member,Goerge,36,Affordability,Per month,200,0,0,0-20 km away,0,0,0,0,1,0,0,0,0,1,0,0,0
12,2023-05-10,Chief/Village Headman,Kayuni,21,Affordability,Per month,200,24000,21,0-20 km away,0,1,0,0,1,0,0,0,0,1,0,0,0
14,2023-05-10,Community member,Mzangunya,17,No tarrif system set,None,0,0,0,Within community,0,0,0,0,0,0,1,1,0,0,0,0,0
16,2023-05-14,Hand pump borehole committee chair,Mlirasambo,69,Maintenance costs,Per month,200,200000,65,Within community,1,1,1,0,0,0,1,0,0,1,0,0,0
71,2023-05-03,Hand pump borehole committee member,Mponela,40,Maintenance costs,Per month,200,10000,34,0-20 km away,1,1,1,0,1,0,0,0,0,1,0,0,0
72,2023-05-03,Hand pump borehole committee chair,Mponela,23,Maintenance costs,Per 2 months,500,60000,20,0-20 km away,1,1,0,0,1,0,0,0,1,0,0,0,0
73,2023-05-03,Hand pump borehole committee member,Kachaka,36,Maintenance costs,Per quarter,2000,50000,30,0-20 km away,1,0,1,0,1,0,0,0,0,0,1,0,0
77,2023-05-04,Hand pump borehole committee member,Mwakanyamale,28,Maintenance costs,Per month,500,120000,25,0-20 km away,0,1,1,0,1,0,0,0,0,1,0,0,0
78,2023-05-04,Hand pump borehole committee member,Mwakanyamale,21,Affordability,Per month,200,60000,10,0-20 km away,0,0,0,0,1,0,0,0,0,1,0,0,0
79,2023-05-04,Head teacher / Teacher,Mwakanyamale,1320,Affordability,Per year,500,260000,1320,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,1,0
80,2023-05-04,Hand pump borehole committee chair,Mwakanyamale,19,Affordability,Per 2 months,500,180000,18,0-20 km away,0,0,1,0,1,0,0,0,1,0,0,0,0
81,2023-05-04,Hand pump borehole committee member,Mwakanyamale,22,Affordability,Per 2 months,500,200000,19,0-20 km away,0,0,1,0,1,0,0,0,1,0,0,0,0
82,2023-05-04,Hand pump borehole committee member,Mwakanyamale,22,Maintenance costs,Per month,500,120000,20,0-20 km away,0,0,1,0,1,0,0,0,0,1,0,0,0
83,2023-05-04,Hand pump borehole committee chair,Mwakanyamale,15,Affordability,Per 2 months,500,140000,15,0-20 km away,0,0,1,0,1,0,0,0,1,0,0,0,0
84,2023-05-04,Hand pump borehole committee chair,Mwakanyamale,25,Affordability,Per month,300,70000,23,0-20 km away,0,0,1,0,1,0,0,0,0,1,0,0,0
85,2023-05-04,Hand pump borehole committee member,Mkakatavu,18,No tarrif system set,None,0,NA,0,0-20 km away,0,0,0,0,1,0,0,1,0,0,0,0,0
86,2023-05-04,Hand pump borehole committee member,Mungombwa,28,Affordability,When required for repairs,0,80000,24,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
87,2023-05-04,Hand pump borehole committee member,Mungombwa,30,Affordability,Per month,200,90000,29,0-20 km away,0,1,1,0,1,0,0,0,0,1,0,0,0
88,2023-05-04,Hand pump borehole committee member,Mungombwa,30,Affordability,Per 2 months,300,100000,25,0-20 km away,0,0,1,0,1,0,0,0,1,0,0,0,0
